player_name,season,games_missed,teams,injury_notes,player_id
John Collins (Martin),2017-18,3,Hawks,left shoulder injury (out indefinitely) | sprained left ankle (DTD) | returned to lineup,1628381
John Henson,2014-15,1,Bucks,sprained left foot (DTD),203089
John Henson,2015-16,3,Bucks,sore left Achilles (DTD) | elbow injury (DTD) | sore lower back (DTD),203089
John Henson,2016-17,1,Bucks,sprained left thumb (DTD),203089
John Henson,2017-18,4,Bucks,eye injury (DTD) | sore right hamstring (DTD) | right index finger injury (DTD),203089
John Henson,2018-19,1,Bucks,left wrist injury (DTD),203089
John Holland,2017-18,1,Cavaliers,left shoulder subluxation (out) indefinitely,204066
John Jenkins,2013-14,2,Hawks,back injury (out for season) | surgery on lower back (out for season),203098
John Jenkins,2015-16,1,Mavericks,undisclosed (DTD) (CBC),203098
John Jenkins,2016-17,1,Suns,strained abdominal (DTD),203098
John Wall (a),2015-16,1,Wizards,surgery on left knee to remove calcium deposits (out indefinitely),202322
John Wall (a),2017-18,2,Wizards,sore left knee / left knee inflammation (DTD) | arthroscopic surgery on left knee (out indefinitely),202322
John Wall (a),2018-19,3,Wizards,sore left heel (DTD) | illness (DTD) | surgery on left Achilles (out for season),202322
Johnathan Motley,2017-18,1,Mavericks,sprained left ankle (DTD),1628405
Johnny O'Bryant III,2014-15,1,Bucks,sprained MCL in right knee (out indefinitely),203948
Johnny O'Bryant III,2016-17,1,Hornets,sprained right ankle (out for season),203948
Jon Leuer,2014-15,1,Grizzlies,back injury (DTD),202720
Jon Leuer,2015-16,5,Suns,ankle injury (DTD) | lower back spasms (DTD) | upset stomach (DTD),202720
Jon Leuer,2016-17,1,Pistons,sore right knee (DTD),202720
Jon Leuer,2017-18,1,Pistons,sprained left ankle (DTD),202720
Jon Leuer,2018-19,1,Pistons,right knee injury (DTD),202720
Jonah Bolden,2018-19,2,76ers,illness (DTD) | sore left knee (out for season),1628413
Jonas Jerebko,2016-17,1,Celtics,flu (DTD),201973
Jonas Valanciunas,2014-15,1,Raptors,placed on IL for birth of child,202685
Jonas Valanciunas,2015-16,3,Raptors,fractured left hand (out indefinitely) | bruised left hand (DTD) | sprained right ankle (DTD),202685
Jonas Valanciunas,2016-17,1,Raptors,bruised left knee (DTD),202685
Jonas Valanciunas,2017-18,1,Raptors,sore/sprained left ankle (DTD),202685
Jonas Valanciunas,2018-19,3,"Grizzlies, Raptors",left thumb injury (DTD) | visa issues (DTD) | sprained right ankle (out for season),202685
Jonathan Isaac,2017-18,6,Magic,sprained right ankle (DTD) | sore right ankle (DTD) | sprained left foot (DTD),1628371
Jonathan Isaac,2018-19,1,Magic,concussion (DTD),1628371
Jonathon Simmons,2016-17,1,Spurs,sprained right wrist (DTD),203613
Jonathon Simmons,2017-18,2,Magic,back spasms (DTD) | bruised right wrist (out for season),203613
Jordan Adams,2014-15,1,Grizzlies,sore left ankle (DTD),203919
Jordan Adams,2015-16,2,Grizzlies,sore right knee (out for season) | surgery on right knee (out indefinitely),203919
Jordan Bell,2017-18,2,Warriors,left ankle injury (out indefinitely) | sprained right ankle (DTD),1628395
Jordan Clarkson,2014-15,1,Lakers,sprained left ankle (DTD),203903
Jordan Clarkson,2015-16,1,Lakers,knee injury (DTD),203903
Jordan Clarkson,2018-19,1,Cavaliers,back injury (DTD),203903
Jordan Farmar,2013-14,1,Lakers,torn left hamstring (out indefinitely),200770
Jordan Hill,2014-15,1,Lakers,strained hip flexor (DTD),201941
Jordan Hill,2015-16,2,Pacers,sore lower back (DTD) | dental work (DTD),201941
Jordan McRae,2018-19,1,Wizards,left Achilles injury (out for season),203895
Jordan Mickey,2015-16,2,Celtics,ankle injury (already on IL) | illness (DTD),1626175
Jordan Mickey,2016-17,1,Celtics,illness (DTD),1626175
Jose Calderon,2014-15,1,Knicks,sore/strained left Achilles (out for season),101181
Jose Calderon,2015-16,2,Knicks,sore right groin (DTD) | bruised right quadriceps (out for season),101181
Jose Calderon,2016-17,1,Lakers,strained left calf (DTD),101181
Jose Juan Barea / Jose Barea / J.J. Barea,2014-15,1,Mavericks,sprained left ankle (DTD),200826
Jose Juan Barea / Jose Barea / J.J. Barea,2015-16,4,Mavericks,sprained right ankle (DTD) | strained right groin (DTD),200826
Jose Juan Barea / Jose Barea / J.J. Barea,2016-17,4,Mavericks,sore elbow (DTD) | torn calf muscle in left leg / strained left calf (out indefinitely) | strained left calf (DTD),200826
Jose Juan Barea / Jose Barea / J.J. Barea,2017-18,2,Mavericks,strained left groin (DTD) | strained left oblique (DTD),200826
Jose Juan Barea / Jose Barea / J.J. Barea,2018-19,2,Mavericks,strained left adductor (DTD) | torn right Achilles tendon (out for season),200826
Josh Harrellson,2013-14,1,Pistons,knee injury (DTD),202725
Josh Hart,2017-18,2,Lakers,fractured left hand (out indefinitely) | surgery on left hand to repair fracture (out indefinitely),1628404
Josh Hart,2018-19,4,Lakers,left knee injury (DTD) | right knee tendinitis (DTD) | surgery on right knee (out for season),1628404
Josh Jackson,2017-18,1,Suns,bruised right quadriceps (out for season),1628367
Josh McRoberts,2013-14,1,Bobcats,surgery on left big toe to remove bone spurs (out indefinitely),201177
Josh McRoberts,2014-15,2,Heat,torn meniscus in right knee (out for season) | surgery on right knee to repair torn meniscus (out for season),201177
Josh McRoberts,2016-17,3,Heat,sore left foot (DTD) | stress fracture in left foot (DTD) | stress fracture in left foot (out for season),201177
Josh Richardson,2016-17,2,Heat,sore/sprained right ankle (DTD) | sprained left foot (DTD),1626196
Josh Richardson,2017-18,1,Heat,sore left foot (DTD),1626196
Josh Richardson,2018-19,4,Heat,right shoulder injury (DTD) | illness (DTD) | bruised left heel (DTD),1626196
Jrue Holiday,2013-14,1,Pelicans,surgery on right tibia to repair stress fracture (out for season),201950
Jrue Holiday,2014-15,3,Pelicans,unspecified (DTD) | stress reaction in lower right leg (DTD) | surgery on lower right leg to remove screw (DTD),201950
Jrue Holiday,2015-16,7,Pelicans,lower right leg injury (DTD) | leg injury (DTD) | left toe injury (DTD),201950
Jrue Holiday,2016-17,1,Pelicans,turf toe (DTD),201950
Jrue Holiday,2017-18,1,Pelicans,illness (DTD),201950
Jrue Holiday,2018-19,1,Pelicans,strained lower abdominal (out for season),201950
Juancho Hernangomez / Juan Hernangomez,2016-17,2,Nuggets,sprained right ankle (DTD) | sore/sprained right ankle (DTD),1627823
Juancho Hernangomez / Juan Hernangomez,2017-18,1,Nuggets,illness (DTD),1627823
Juancho Hernangomez / Juan Hernangomez,2018-19,1,Nuggets,strained abdominal (DTD),1627823
Julius Randle,2014-15,3,Lakers,fractured tibia in right leg (out for season) | surgery on right leg to repair fractured tibia (out for season) | surgery on right foot/leg to replace screw (out for season),203944
Julius Randle,2015-16,1,Lakers,sprained left ankle (DTD),203944
Julius Randle,2016-17,4,Lakers,hip pointer (DTD) | illness (DTD) | pneumonia (DTD),203944
Julius Randle,2018-19,2,Pelicans,sprained right ankle (DTD),203944
Julyan Stone,2017-18,1,Hornets,hamstring injury (DTD),202933
Justin Anderson,2016-17,1,76ers,gastroenteritis (DTD),1626147
Justin Anderson,2017-18,2,76ers,shin splints in left leg (DTD) | sore right ankle (DTD),1626147
Justin Anderson,2018-19,1,Hawks,tibia injury (DTD),1626147
Justin Hamilton (b),2014-15,2,"Heat, Timberwolves",concussion (DTD) | migraine headache (DTD),203120
Justin Hamilton (b),2016-17,1,Nets,migraine headache (DTD),203120
Justin Patton,2017-18,1,Timberwolves,surgery on left foot (out for season),1628383
Justin Patton,2018-19,1,Timberwolves,right foot injury (DTD),1628383
Justise Winslow,2015-16,2,Heat,ankle injury (DTD) | sprained left ankle (DTD),1626159
Justise Winslow,2016-17,3,Heat,sore left wrist (DTD) | torn labrum in right shoulder (out for season) | surgery on right shoulder to repair torn labrum (out for season),1626159
Justise Winslow,2017-18,1,Heat,strained left knee (DTD),1626159
Justise Winslow,2018-19,1,Heat,right ankle injury (DTD),1626159
Jusuf Nurkic,2014-15,1,Nuggets,sprained right ankle (DTD),203994
Jusuf Nurkic,2015-16,3,Nuggets,bruised knee (DTD) | knee injury (DTD) | sore left knee (DTD),203994
Jusuf Nurkic,2016-17,3,Blazers,fractured fibula in right leg (out for season) | fractured fibula in right leg (DTD),203994
Jusuf Nurkic,2017-18,1,Blazers,sprained right ankle (DTD),203994
Jusuf Nurkic,2018-19,2,Blazers,sore right knee (DTD) | fractured lower left leg (out for season),203994
K.J. McDaniels,2014-15,2,"76ers, Rockets",sprained left ankle (DTD) | fractured right elbow (out for season),203909
K.J. McDaniels,2016-17,1,Rockets,birth of child (DTD),203909
Kadeem Allen,2018-19,2,Knicks,illness (DTD) | concussion (out for season),1628443
Kahlil Felder / Kay Felder,2016-17,1,Cavaliers,concussion (DTD),1627770
Karl-Anthony Towns,2018-19,1,Timberwolves,right knee inflammation (out for season),1626157
Kawhi Leonard,2013-14,1,Spurs,fractured right hand (out indefinitely),202695
Kawhi Leonard,2014-15,1,Spurs,bruised right hand (DTD),202695
Kawhi Leonard,2015-16,2,Spurs,tightness in left calf (DTD) | bruised right quadriceps (DTD),202695
Kawhi Leonard,2016-17,6,Spurs,gastroenteritis (DTD) | sore left hand (DTD) | bruised right quadriceps (DTD),202695
Kawhi Leonard,2017-18,1,Spurs,partial tear in left shoulder (DTD),202695
Kawhi Leonard,2018-19,2,Raptors,sore left knee (DTD),202695
Keita Bates-Diop,2018-19,1,Timberwolves,illness (DTD),1628966
Kelly Olynyk,2015-16,2,Celtics,bruised right shoulder (DTD) | surgery on right shoulder (out indefinitely),203482
Kelly Olynyk,2016-17,1,Celtics,sore/strained left shoulder (DTD),203482
Kelly Olynyk,2017-18,1,Heat,strained left shoulder (DTD),203482
Kelly Oubre Jr.,2016-17,1,Wizards,concussion (DTD),1626162
Kelly Oubre Jr.,2017-18,1,Wizards,sore left foot (DTD),1626162
Kemba Walker,2013-14,1,Bobcats,sprained left ankle (DTD),202689
Kemba Walker,2014-15,2,Hornets,left knee injury (DTD) | surgery on left knee to repair torn lateral meniscus (out for season),202689
Kemba Walker,2015-16,2,Hornets,sore left knee (DTD) | surgery on left knee to repair torn meniscus (out for season),202689
Kemba Walker,2016-17,2,Hornets,sore left knee (out for season) | arthroscopic surgery on left knee (out indefinitely),202689
Kemba Walker,2017-18,1,Hornets,sore left shoulder (DTD),202689
Kendall Marshall,2014-15,2,Bucks,torn ACL in right knee (out for season) | surgery on right knee to repair torn ACL (out for season),203088
Kendall Marshall,2015-16,4,76ers,right knee injury (out indefinitely) | sore right knee (DTD) | upper respiratory infection (DTD),203088
Kendrick Perkins,2013-14,2,Thunder,placed on IL with death in family | strained groin (DTD),2570
Kendrick Perkins,2014-15,1,Thunder,left knee injury (DTD),2570
Kendrick Perkins,2015-16,1,Pelicans,strained right pectoral muscle (DTD),2570
Kenneth Faried,2014-15,4,Nuggets,strained lower back (DTD) | strained right ankle (DTD) | bruised left thumb (DTD),202702
Kenneth Faried,2015-16,5,Nuggets,sprained left ankle (DTD) | ankle injury (DTD) | placed on IL with birth of child,202702
Kenneth Faried,2016-17,3,Nuggets,sore lower back (DTD) | sprained right ankle (DTD) | lower back injury (out for season),202702
Kenneth Faried,2018-19,4,"Nets, Rockets",illness (DTD) | bruised left hip / strained adductor in left hip (DTD) | sore left knee (DTD),202702
Kent Bazemore,2013-14,2,Lakers,right foot injury (out indefinitely) | surgery on right foot to repair torn tendon,203145
Kent Bazemore,2015-16,3,Hawks,sprained ankle (DTD) | bone bruise in right knee (DTD) | right knee injury (DTD),203145
Kent Bazemore,2016-17,2,Hawks,bone bruise in right knee (DTD),203145
Kent Bazemore,2017-18,1,Hawks,bone bruise in right knee (out for season),203145
Kent Bazemore,2018-19,1,Hawks,sprained right ankle (out indefinitely),203145
Kentavious Caldwell-Pope,2015-16,2,Pistons,strained groin (CBC) / strained core muscle (P) (DTD) | illness (DTD),203484
Kentavious Caldwell-Pope,2017-18,1,Lakers,strained right Achilles (DTD),203484
Kenyon Martin,2014-15,1,Bucks,sprained left ankle (DTD),2030
