player_name,season,games_missed,teams,injury_notes,player_id
Lance Thomas,2016-17,3,Knicks,sore left ankle (DTD) | fractured orbital bone (out indefinitely) | sore right hip (out for season),202498
Lance Thomas,2018-19,2,Knicks,sore left knee (DTD) | surgery on left knee (out indefinitely),202498
Landry Fields,2013-14,1,Raptors,surgery on right wrist (out indefinitely),202361
Landry Fields,2014-15,1,Raptors,concussion (DTD),202361
Larry Nance Jr.,2015-16,3,Lakers,nose injury (DTD) | sore right knee (DTD) | sore knee (DTD),1626204
Larry Nance Jr.,2016-17,4,Lakers,concussion (DTD) | bruised/sore right knee (DTD) | bone bruise in left knee (DTD),1626204
Larry Nance Jr.,2017-18,1,Lakers,surgery on left hand/thumb to repair fracture (out indefinitley),1626204
Larry Nance Jr.,2018-19,1,Cavaliers,rib injury (DTD),1626204
Larry Sanders (b),2013-14,2,Bucks,surgery on right thumb to repaor torn ligament (out indefinitely) | surgery to repair fractured orbital bone (out indefinitely),202336
Larry Sanders (b),2014-15,3,Bucks,surgery (out indefinitely) | bruised left thigh (DTD) | suspended by NBA for 1 game for shoving opposing player,202336
Lauri Markkanen,2017-18,3,Bulls,back spasms / sore lower back (DTD) | back spasms (DTD) | birth of child (DTD),1628374
Lavoy Allen,2014-15,1,Pacers,sore right knee (DTD),202730
Lavoy Allen,2015-16,1,Pacers,sore left knee (DTD),202730
Lavoy Allen,2016-17,2,Pacers,sore right knee (DTD) | sore left knee (DTD),202730
LeBron James,2013-14,1,Heat,fractured nose (DTD),2544
LeBron James,2014-15,3,Cavaliers,sore left knee (DTD) | sprained right wrist (DTD) | back injury (DTD),2544
LeBron James,2016-17,1,Cavaliers,illness (DTD),2544
LeBron James,2018-19,2,Lakers,strained left groin (DTD) | left groin injury (out for season),2544
Leandro Barbosa,2013-14,1,Suns,fractured left hand (out for season),2571
Leandro Barbosa,2014-15,2,Warriors,knee injury (DTD) | illness / upper respiratory infection (DTD),2571
Leandro Barbosa,2015-16,5,Warriors,virus (DTD) | illness (DTD) | sprained left shoulder (DTD),2571
Leandro Barbosa,2016-17,2,Suns,illness (DTD) | sore right hamstring (out for season),2571
Lonzo Ball,2017-18,3,Lakers,sprained left shoulder (DTD) | sprained left knee (DTD) | bruised left knee (out for season),1628366
Louis Amundson / Lou Amundson,2014-15,1,Knicks,lower back spasms (DTD),200811
Louis Amundson / Lou Amundson,2015-16,4,Knicks,back injury (DTD) | head injury (DTD) | back spasms (DTD),200811
Louis Williams / Lou Williams,2013-14,1,Hawks,recovering from surgery on right knee (out indefinitely),101150
Louis Williams / Lou Williams,2014-15,1,Raptors,undisclosed (DTD),101150
Louis Williams / Lou Williams,2017-18,2,Clippers,sprained left / right foot (DTD) | sprained right ankle (out for season),101150
Louis Williams / Lou Williams,2018-19,2,Clippers,left hamstring injury (DTD) | right hamstring injury (DTD),101150
Luc Richard Mbah a Moute / Luc Mbah a Moute,2014-15,8,76ers,back injury (DTD) | strained left calf (DTD) | turf toe (DTD),201601
Luc Richard Mbah a Moute / Luc Mbah a Moute,2015-16,1,Clippers,lacerated left eyelid (DTD),201601
Luc Richard Mbah a Moute / Luc Mbah a Moute,2016-17,2,Clippers,sprained right shoulder (DTD) | player declined contract option,201601
Luc Richard Mbah a Moute / Luc Mbah a Moute,2017-18,3,Rockets,knee injury (DTD) | sore left knee (DTD) | dislocated right shoulder (DTD),201601
Luc Richard Mbah a Moute / Luc Mbah a Moute,2018-19,1,Clippers,surgery on left knee (out for season),201601
Lucas Nogueira,2014-15,1,Raptors,groin injury (DTD),203512
Lucas Nogueira,2015-16,1,Raptors,sprained left ankle (DTD),203512
Lucas Nogueira,2016-17,2,Raptors,sore/sprained left ankle (DTD) | sore right knee (DTD),203512
Lucas Nogueira,2017-18,2,Raptors,sprained left ankle (DTD) | strained right calf (DTD),203512
Luigi Datome / Gigi Datome,2014-15,1,Pistons,strained right hamstring (DTD),203540
Luis Scola,2015-16,1,Raptors,sore left knee (DTD),2449
Luka Doncic,2018-19,3,Mavericks,sore left ankle (DTD) | bruised right thigh (DTD) | left thigh injury (out for season),1629029
Luke Babbitt,2014-15,1,Pelicans,sprained left finger (DTD),202337
Luke Babbitt,2015-16,3,Pelicans,sore/strained left hamstring (DTD) | bruised left shin (DTD) | illness (out for season),202337
Luke Babbitt,2016-17,4,Heat,right groin injury / strained right hip (DTD) | strained right hip flexor (DTD) | flu (DTD),202337
Luke Babbitt,2017-18,1,Hawks,lower back spasms (DTD),202337
Luke Kennard,2017-18,2,Pistons,thumb injury (DTD) | sore left big toe (DTD),1628379
Luke Kennard,2018-19,1,Pistons,right shoulder injury (out indefinitely),1628379
Luke Kornet,2018-19,1,Knicks,sprained left ankle (out indefinitely),1628436
Luke Ridnour,2014-15,1,Magic,strained right hamstring (DTD),2557
Luol Deng,2014-15,5,Heat,sprained right wrist (DTD) | bruised right hand (DTD) | thigh injury (DTD),2736
Luol Deng,2015-16,4,Heat,sore hamstring (DTD) | scratched eye (DTD) | sore left quadriceps (DTD),2736
Luol Deng,2016-17,2,Lakers,right biceps tendinitis (DTD) | surgery on right pectoral muscle (out indefinitely),2736
Luol Deng,2017-18,1,Lakers,sprained left ankle (DTD),2736
Maalik Wayns,2013-14,1,Clippers,surgery on left knee to repair torn meniscus (out indefinitely) (date approximate),203146
Malachi Richardson,2016-17,1,Kings,torn right hamstring (DTD),1627781
Malachi Richardson,2017-18,1,Kings,sprained left ankle (DTD),1627781
Malcolm Brogdon,2016-17,2,Bucks,sore back (DTD),1627763
Malcolm Brogdon,2017-18,2,Bucks,sprained left ankle (DTD) | partially torn quadriceps tendon in left leg (out indefinitely),1627763
Malcolm Brogdon,2018-19,2,Bucks,right foot injury (DTD),1627763
Malcolm Delaney,2016-17,1,Hawks,back spasms (DTD),1627098
Malcolm Delaney,2017-18,4,Hawks,sprained right ankle (DTD) | strained right knee (DTD) | sprained left ankle (out for season),1627098
Malcolm Thomas (b),2014-15,2,76ers,left knee injury (DTD) | right leg injury (DTD),202952
Malik Beasley,2017-18,1,Nuggets,elbow injury (DTD),1627736
MarShon Brooks,2017-18,1,Grizzlies,left ankle injury (DTD),202705
Marc Gasol,2013-14,1,Grizzlies,sprained MCL in left knee (out indefinitely),201188
Marc Gasol,2015-16,2,Grizzlies,fractured right foot (out for season) | surgery on right foot to repair fracture (out for season),201188
Marc Gasol,2016-17,2,Grizzlies,sore right ankle (DTD) | strained left foot (DTD),201188
Marc Gasol,2017-18,3,Grizzlies,illness (DTD) | DTD,201188
Marc Gasol,2018-19,2,Grizzlies,back injury (DTD) | hand injury (DTD),201188
Marcin Gortat,2015-16,1,Wizards,sore left knee (DTD),101162
Marcin Gortat,2018-19,1,Clippers,back spasms (DTD),101162
Marco Belinelli,2014-15,2,Spurs,strained right groin (DTD) | strained left groin (DTD),201158
Marco Belinelli,2015-16,5,Kings,gastroenteritis (DTD) | tooth extraction (DTD) | back spasms (DTD),201158
Marco Belinelli,2016-17,2,Hornets,sprained left ankle (DTD) | strained left index finger (out for season),201158
Marco Belinelli,2018-19,2,Spurs,stiff neck (DTD) | bruised left knee (DTD),201158
Marcus Morris,2014-15,1,Suns,stomach virus (out for season),202694
Marcus Morris,2015-16,1,Pistons,left knee tendinitis (DTD),202694
Marcus Morris,2016-17,1,Pistons,sore left knee (DTD),202694
Marcus Morris,2017-18,5,Celtics,left knee injury (DTD) | rehab of left knee (DTD) | bruised left hip (DTD),202694
Marcus Morris,2018-19,3,Celtics,illness (DTD) | sore right knee (DTD) | right knee injury (DTD),202694
Marcus Smart,2014-15,1,Celtics,strained left Achilles (DTD),203935
Marcus Smart,2015-16,1,Celtics,bruised left knee (DTD),203935
Marcus Smart,2016-17,1,Celtics,sprained left ankle (DTD),203935
Marcus Smart,2017-18,3,Celtics,right hand injury (DTD) | sprained right thumb (out indefinitely) | surgery on right thumb (out indefinitely),203935
Marcus Smart,2018-19,1,Celtics,torn left oblique (out indefinitely),203935
Marcus Thornton (T.),2014-15,2,Suns,sprained right big toe (DTD) | sprained left ankle (DTD),201977
Mario Chalmers,2014-15,2,Heat,knee injury (DTD) | undisclosed (DTD),201596
Mario Chalmers,2015-16,1,Grizzlies,ruptured right Achilles tendon (out for season),201596
Mario Chalmers,2017-18,5,Grizzlies,right shoulder injury (DTD) | left hamstring injury (DTD) | right hamstring injury (DTD),201596
Mario Hezonja,2018-19,2,Knicks,illness (DTD),1626209
Markelle Fultz,2017-18,1,76ers,sore right shoulder (DTD),1628365
Markelle Fultz,2018-19,2,76ers,right shoulder injury (DTD) | thoracic outlet syndrome (out for season),1628365
Markieff Morris,2015-16,3,"Suns, Wizards",sprained left knee (DTD) | strained right shoulder (DTD) | strained right calf (DTD),202693
Markieff Morris,2016-17,1,Wizards,sore left foot (DTD),202693
Markieff Morris,2017-18,2,Wizards,sore right hip (DTD) | illness (DTD),202693
Markieff Morris,2018-19,1,Thunder,sore neck (DTD),202693
Marquese Chriss,2017-18,1,Suns,strained right hip flexor (DTD),1627737
Marquese Chriss,2018-19,2,Rockets,sprained left ankle (DTD),1627737
Martell Webster,2013-14,1,Wizards,microdisectomy surgery on lower back to repair herniated disc (out indefinitely),101110
Martell Webster,2015-16,2,Wizards,hip injury (out for season) | surgery on right hip (out for season),101110
Marvin Bagley III,2018-19,2,Kings,left knee injury (DTD) | sprained left knee (DTD),1628963
Marvin Williams,2014-15,2,Hornets,sprained left shoulder (DTD) | concussion (DTD),101107
Marvin Williams,2015-16,1,Hornets,sprained left ankle (DTD),101107
Marvin Williams,2017-18,1,Hornets,sprained left ankle (DTD),101107
Marvin Williams,2018-19,1,Hornets,strained right shoulder (DTD),101107
Mason Plumlee,2017-18,1,Nuggets,surgery to repair core muscle injury (out for season),203486
Mason Plumlee,2018-19,1,Nuggets,"fined $25,000 by NBA for altercation with opposing player during game",203486
Matt Barnes,2013-14,1,Clippers,surgery on left eye to repair torn retina (out indefinitely),2440
Matt Barnes,2014-15,4,Clippers,strained left calf (DTD) | strained right hamstring (DTD) | sore right hamstring (DTD),2440
Matt Barnes,2015-16,3,Grizzlies,bruised right thumb (DTD) | right hamstring injury (DTD) | hamstring injury (DTD),2440
Matt Barnes,2016-17,2,Warriors,"sprained right ankle, foot (DTD)",2440
Matt Bonner,2014-15,1,Spurs,stomach virus (DTD),2588
Matt Bonner,2015-16,2,Spurs,sore/strained left calf (DTD) | strained left calf (DTD),2588
Matthew Dellavedova,2015-16,1,Cavaliers,left calf tightness (DTD),203521
Matthew Dellavedova,2016-17,2,Bucks,strained right hamstring (DTD) | returned to lineup,203521
Matthew Dellavedova,2017-18,2,Bucks,left knee tendinitis (DTD) | sprained right ankle (DTD),203521
Matthew Dellavedova,2018-19,3,Cavaliers,sore left knee (DTD) | sprained left foot (DTD) | concussion (out for season),203521
Maurice Harkless / Moe Harkless,2016-17,2,Blazers,strained left calf (DTD),203090
Maurice Harkless / Moe Harkless,2017-18,1,Blazers,surgery on left knee (out indefinitely),203090
Maurice Harkless / Moe Harkless,2018-19,3,Blazers,left knee injury (DTD),203090
Maurice Ndour / Maurice N'dour,2016-17,2,Knicks,sprained right ankle (DTD) | sprained right ankle (out indefinitely),1626254
Maurice Williams / Mo Williams,2014-15,4,Timberwolves,illness (DTD) | back spasms (DTD) | sprained right ankle (DTD),2590
Maurice Williams / Mo Williams,2015-16,6,Cavaliers,right ankle inflammation (DTD) | sprained right thumb (DTD) | knee injury (DTD),2590
Maximilian Kleber / Maxi Kleber,2018-19,2,Mavericks,sore right knee (DTD) | bruised right knee (DTD),1628467
Melvin Frazier Jr.,2018-19,1,Magic,bruised lower back (DTD),1628982
Meyers Leonard,2015-16,3,Blazers,dislocated left shoulder (out indefinitely) | dislocated left shoulder (out for season) | surgery on left shoulder (out for season),203086
Meyers Leonard,2016-17,1,Blazers,lower back injury (DTD),203086
Meyers Leonard,2017-18,3,Blazers,sore/sprained right ankle (DTD) | illness (DTD) | ankle injury (DTD),203086
Michael Beasley,2014-15,1,Heat,knee injury / illness (P) (DTD),201563
Michael Beasley,2016-17,4,Bucks,sore elbow (DTD) | sprained left foot (DTD) | hyperextended / sprained left knee (DTD),201563
Michael Carter-Williams,2013-14,1,76ers,surgery on right shoulder to repair torn labrum (out indefinitely),203487
Michael Carter-Williams,2014-15,5,"76ers, Bucks",recovering from surgery on right shoulder to repair torn labrum (DTD) | sore right shoulder (DTD) | upper respiratory infection (DTD),203487
Michael Carter-Williams,2015-16,8,Bucks,strained left ankle (DTD) | patella tendinitis in left knee (DTD) | torn labrum in left hip (out for season),203487
Michael Carter-Williams,2016-17,2,Bulls,bone bruise in left knee (out indefinitely) | wrist injury (DTD),203487
Michael Carter-Williams,2017-18,5,Hornets,sore knees (DTD) | sore knee (DTD) | strained left shoulder (DTD),203487
Michael Carter-Williams,2018-19,1,Rockets,illness (DTD),203487
Michael Gbinije,2016-17,3,Pistons,left forearm injury (DTD) | arm injury (DTD) | sprained left ankle (DTD),1627771
Michael Kidd-Gilchrist,2013-14,1,Bobcats,fractured left hand (out indefinitely),203077
Michael Kidd-Gilchrist,2014-15,1,Hornets,strained right hamstring (DTD),203077
Michael Kidd-Gilchrist,2015-16,2,Hornets,surgery on right shoulder to repair torn labrum (out indefinitely) | torn labrum in right shoulder (out for season),203077
Michael Kidd-Gilchrist,2017-18,2,Hornets,right axillary abscess (DTD) | sore left hamstring (DTD),203077
Michael Kidd-Gilchrist,2018-19,2,Hornets,sprained right ankle (DTD) | concussion (DTD),203077
Mike Conley Jr.,2014-15,2,Grizzlies,sprained left wrist (DTD) | ankle injury (DTD),201144
Mike Conley Jr.,2015-16,3,Grizzlies,tightness in lower back (DTD) | sore left Achilles tendon (DTD) | left Achilles tendinitis (out for season),201144
Mike Conley Jr.,2016-17,3,Grizzlies,sore lower back (DTD) | left big toe injury (DTD) | eye injury (DTD),201144
Mike Conley Jr.,2017-18,2,Grizzlies,sore left Achilles (DTD) | surgery on left heel to smooth bone (out for season) (date approximate),201144
Mike Conley Jr.,2018-19,5,Grizzlies,illness (DTD) | general soreness (DTD) | left thigh injury (DTD),201144
Mike Dunleavy Jr.,2015-16,1,Bulls,stomach virus (DTD),2399
Mike Dunleavy Jr.,2016-17,1,Cavaliers,sprained right ankle (DTD),2399
Mike Muscala,2015-16,2,Hawks,sore right ankle (DTD) | ankle injury (DTD),203488
Mike Muscala,2016-17,1,Hawks,sore/sprained left ankle (DTD),203488
Mike Muscala,2017-18,2,Hawks,sprained left ankle (DTD),203488
Mike Muscala,2018-19,3,"76ers, Lakers",fractured nose | illness (DTD) | sore right ankle (DTD),203488
Mike Scott,2015-16,1,Hawks,knee injury (DTD),203118
Mike Scott,2016-17,1,Hawks,left knee injury (DTD),203118
Mike Scott,2017-18,1,Wizards,illness (DTD),203118
Mike Scott,2018-19,1,76ers,right foot injury (DTD),203118
Miles Plumlee,2015-16,1,Bucks,sore left knee (DTD),203101
Miles Plumlee,2016-17,4,"Bucks, Hornets",sprained right index finger (DTD) | finger injury (DTD) | strained right calf (DTD),203101
Miles Plumlee,2017-18,1,Hawks,strained right quadriceps (DTD),203101
Miles Plumlee,2018-19,2,Hawks,left knee injury (out for season) | surgery on left knee (out for season),203101
Milos Teodosic,2017-18,3,Clippers,sore plantar fascia in left foot (DTD) | sore right foot (DTD) | plantar fascia in left foot (out for season),1628462
Milos Teodosic,2018-19,1,Clippers,knee injury (DTD),1628462
Milos Teodosic / Milos Tedosic,2017-18,1,Clippers,plantar fascia in left foot (out indefinitely),1628462
Mindaugas Kuzminskas,2016-17,1,Knicks,illness (DTD),1627851
Mirza Teletovic,2014-15,2,Nets,right hip pointer (DTD) | blood clots in lungs (out indefinitely),203141
Mirza Teletovic,2015-16,2,Suns,sprained left ankle (DTD) | upset stomach (DTD),203141
Mirza Teletovic,2016-17,2,Bucks,concussion (DTD) | strained left hamstring (DTD),203141
Mirza Teletovic,2017-18,2,Bucks,arthroscopic surgery on left knee to repair torn cartilage (out indefinitely) | pulmonary embolism (out indefinitely),203141
Mitch McGary,2014-15,1,Thunder,fractured left foot (out indefinitely),203956
Mitch McGary,2015-16,1,Thunder,sore ankle (DTD),203956
Mitchell Robinson,2018-19,1,Knicks,"left ankle, groin injury (DTD)",1629011
Mohamed Bamba / Mo Bamba,2018-19,2,Magic,sore left foot (DTD) | left leg injury (DTD),1628964
Monta Ellis,2014-15,1,Mavericks,right calf injury (DTD),101145
Montrezl Harrell,2015-16,2,Rockets,bruised shoulder (DTD) | illness (DTD),1626149
Montrezl Harrell,2016-17,1,Rockets,sore calf (DTD),1626149
Moritz Wagner / Moe Wagner,2018-19,1,Lakers,bruised left knee (DTD),1629021
Myles Turner,2015-16,4,Pacers,sore right ankle (DTD) | chip fracture in left thumb (out indefinitely) | surgery on left thumb to repair chip fracture and torn ligament (out indefinitely),1626167
Myles Turner,2016-17,1,Pacers,sprained right ankle (DTD),1626167
Myles Turner,2017-18,2,Pacers,sore neck (DTD) | right elbow injury (DTD),1626167
Nate Robinson,2013-14,2,Nuggets,torn ACL in left knee (out indefinitely) | surgery on left knee to repair torn ACL (out indefinitely),101126
Nate Robinson,2014-15,1,Nuggets,bruised back (DTD),101126
Nate Wolters,2013-14,1,Bucks,fractured left hand (out indefinitely),203489
Nate Wolters,2014-15,1,Bucks,illness (DTD),203489
Nate Wolters,2017-18,1,Jazz,sore lower back (DTD),203489
Nemanja Bjelica,2015-16,1,Timberwolves,sore/strained right foot (DTD),202357
Nemanja Bjelica,2016-17,2,Timberwolves,left ankle / foot injury (out for season) | recovering from surgery on left foot (out for season),202357
Nemanja Bjelica,2018-19,2,Kings,tightness in lower back (DTD) | illness (DTD),202357
Nene / Nene Hilario / Maybyner Hilario,2013-14,2,Wizards,right foot injury (DTD) | sprained MCL in right knee (P) / left knee injury (CBC) (out indefinitely),2403
Nene / Nene Hilario / Maybyner Hilario,2014-15,2,Wizards,plantar faciitis in right foot (DTD) | sore left (P) / right knee (DTD),2403
Nene / Nene Hilario / Maybyner Hilario,2015-16,3,Wizards,sore back (DTD) | strained right triceps (DTD) | undisclosed (DTD),2403
Nene / Nene Hilario / Maybyner Hilario,2016-17,2,Rockets,sore groin (DTD) | torn left adductor muscle (out for season),2403
Nene / Nene Hilario / Maybyner Hilario,2017-18,5,Rockets,sore ankle (DTD) | sprained right foot (DTD) | strained right shoulder (DTD),2403
Nene / Nene Hilario / Maybyner Hilario,2018-19,2,Rockets,strained right calf (out indefinitely) | right calf injury (DTD),2403
Nerlens Noel,2014-15,3,76ers,sprained left ankle (DTD) | illness / upper respiratory infection (DTD) | sprained right ankle (out for season),203457
Nerlens Noel,2015-16,6,76ers,sore left wrist (DTD) | sore right knee (DTD) | left eye corneal abrasion (DTD),203457
Nerlens Noel,2016-17,4,76ers,surgery on left knee (out indefinitely) (date approximate) | sprained left ankle (DTD) | upper respiratory infection (DTD),203457
Nerlens Noel,2017-18,2,Mavericks,thumb injury (DTD) | surgery on thumb (out indefinitely),203457
Nerlens Noel,2018-19,3,Thunder,illness (DTD) | concussion (out indefinitely) | bruised left quadricep (DTD),203457
Nick Collison,2014-15,1,Thunder,sprained left ankle (DTD),2555
Nick Young,2013-14,1,Lakers,fractured patella in left knee (out indefinitely),201156
Nick Young,2014-15,3,Lakers,surgery on right thumb to repair torn ligament (out indefinitely) | sprained right ankle (DTD) | fractured left kneecap (out for season),201156
Nick Young,2016-17,3,Lakers,sprained toe on left foot (DTD) | strained right calf (DTD) | gastroenteritis (DTD),201156
Nick Young,2017-18,1,Warriors,concussion (DTD),201156
Nicolas Batum,2014-15,4,Blazers,sprained right wrist (DTD) | lower back injury (DTD) | sprained lower back (DTD),201587
Nicolas Batum,2015-16,4,Hornets,sprained toe on right foot (DTD) | sprained right toe (DTD) | strained left foot (DTD),201587
Nicolas Batum,2016-17,4,Hornets,corneal abrasion (DTD) | hyperextended/strained right knee (DTD) | migraine headache (DTD),201587
Nicolas Batum,2017-18,4,Hornets,torn ligament in left elbow (out indefinitely) | ulnar nerve contusion (DTD) | left Achilles tendinitis (DTD),201587
Nicolas Batum,2018-19,1,Hornets,right eye injury (DTD),201587
Nik Stauskas,2014-15,1,Kings,back injury (DTD),203917
Nik Stauskas,2015-16,4,76ers,back spasms (DTD) | bruised left knee (DTD) | bruised left shoulder (DTD),203917
Nik Stauskas,2016-17,2,76ers,sore left knee (DTD) | bruised right knee (DTD),203917
Nik Stauskas,2017-18,2,"76ers, Nets",sprained right ankle (DTD) | ankle injury (DTD),203917
Nik Stauskas,2018-19,3,"Blazers, Cavaliers",sore left knee (DTD) | bruised lower back (DTD),203917
Nikola Jokic,2015-16,1,Nuggets,strained lower back (DTD),203999
Nikola Jokic,2016-17,2,Nuggets,illness (DTD) | strained left hip flexor (DTD),203999
Nikola Jokic,2017-18,1,Nuggets,sprained left ankle (DTD),203999
Nikola Mirotic,2015-16,2,Bulls,surgery to remove appendix (out indefinitely) | recovering from surgery to remove appendix (DTD),202703
Nikola Mirotic,2016-17,1,Bulls,back spasms (DTD),202703
Nikola Mirotic,2017-18,4,"Bulls, Pelicans",fractured bones in face (out indefinitely) | stomach virus (DTD) | hip injury (DTD),202703
Nikola Mirotic,2018-19,2,Pelicans,illness (DTD) | right ankle injury (DTD),202703
Nikola Pekovic,2013-14,1,Timberwolves,bursitis in right ankle (out indefinitely),201593
Nikola Pekovic,2014-15,4,Timberwolves,sprained right wrist (DTD) | ankle injury (DTD) | sprained right ankle (out for season),201593
Nikola Pekovic,2015-16,1,Timberwolves,recovering from surgery on right Achilles (DTD),201593
Nikola Pekovic,2016-17,1,Timberwolves,sore right foot (out for season),201593
Nikola Vucevic,2014-15,2,Magic,back spasms (DTD) | sore left ankle (DTD),202696
Nikola Vucevic,2015-16,3,Magic,sprained right knee (DTD) | strained right groin (DTD) | right groin injury (DTD),202696
Nikola Vucevic,2016-17,1,Magic,sore right Achilles (DTD),202696
Nikola Vucevic,2017-18,2,Magic,fractured left hand (out indefinitely) | tightness in lower back (DTD),202696
Nikola Vucevic,2018-19,1,Magic,stomach virus (DTD),202696
Noah Vonleh,2017-18,2,"Blazers, Bulls",strained right shoulder (DTD) | sprained right toe (DTD),203943
Noah Vonleh,2018-19,1,Knicks,bruised right hip (DTD),203943
Norman Powell,2018-19,1,Raptors,left shoulder subluxation (DTD),1626181
Norris Cole (a),2014-15,1,Heat,cold (DTD),202708
Norris Cole (a),2015-16,2,Pelicans,sprained left ankle (DTD) | lower back injury (out for season),202708
O.J. Mayo,2014-15,3,Bucks,sore right hamstring (DTD),201564
O.J. Mayo,2015-16,11,Bucks,strained right hamstring (DTD) | sore left hamstring (DTD) | stomach virus (DTD),201564
Ognjen Kuzmic / Ognen Kuzmic,2014-15,2,Warriors,shoulder injury (DTD) | ankle injury (out for season),203136
Ogugua Anunoby / O.G. Anunoby,2018-19,1,Raptors,appendectomy (out indefinitely),1628384
Okaro White,2016-17,1,Heat,sprained left ankle (DTD),1627855
Okaro White,2017-18,1,Heat,fractured left foot (out indefinitely),1627855
Omari Spellman,2018-19,2,Hawks,sprained left ankle (DTD) | right hip injury (DTD),1629016
Omer Asik,2014-15,1,Pelicans,strained right calf (DTD),201600
Omer Asik,2015-16,4,Pelicans,strained right calf (out indefinitely) | sprained right calf (DTD) | stomach illness (DTD),201600
Omer Asik,2016-17,3,Pelicans,illness (DTD) | illness (out for season),201600
Omer Asik,2017-18,1,Pelicans,illness (DTD),201600
Omer Asik,2018-19,1,Bulls,illness (out indefinitely),201600
Omri Casspi,2014-15,2,Kings,bone bruise in left knee (DTD) | illness (out for season),201956
Omri Casspi,2015-16,3,Kings,sore upper back (DTD) | wisdom tooth extraction (DTD) | sore left ankle (DTD),201956
Omri Casspi,2016-17,3,"Kings, Pelicans",illness (DTD) | strained right calf (DTD) | fractured right thumb (out indefinitely),201956
Omri Casspi,2018-19,4,Grizzlies,sore right knee (DTD) | illness (DTD) | surgery on right knee (out indefinitely),201956
Otto Porter Jr.,2015-16,2,Wizards,bruised left thigh (DTD) | sore right hip (DTD),203490
Otto Porter Jr.,2017-18,2,Wizards,hip injury / bruised right thigh (DTD) | surgery on left leg to remove blood around a contusion (out indefinitely),203490
P.J. Hairston,2014-15,2,Hornets,illness (DTD) | sprained right knee (out for season),203798
P.J. Hairston,2015-16,1,Grizzlies,strained left groin (DTD),203798
P.J. Tucker,2015-16,1,Suns,bruised chest (left game),200782
Pablo Prigioni,2013-14,1,Knicks,fractured right toe (out indefinitely),203143
Pablo Prigioni,2014-15,2,Knicks,sprained right ankle (DTD) | sore left hip (DTD),203143
Pablo Prigioni,2015-16,2,Clippers,illness (DTD),203143
Pablo Prigioni,2016-17,1,Rockets,strained left shoulder (DTD),203143
Pascal Siakam,2018-19,1,Raptors,back injury (DTD),1627783
Pat Connaughton,2015-16,1,Blazers,bone bruise in left ankle (DTD),1626192
Pat Connaughton,2018-19,1,Bucks,left knee injury (DTD),1626192
Patrick Beverley,2013-14,2,Rockets,fractured right hand (out indefinitely) | right knee injury (DTD) (CBC) / torn meniscus in right knee (out indefinitely),201976
Patrick Beverley,2014-15,2,Rockets,flu/illness (DTD) | surgery on left wrist to repair torn ligaments (out for season),201976
Patrick Beverley,2015-16,3,Rockets,concussion (DTD) | ankle injury (DTD) | sprained left ankle (DTD),201976
Patrick Beverley,2016-17,5,Rockets,left knee injury (out indefinitely) | surgery on left knee (out indefinitely) | bruised left quadricep (DTD),201976
Patrick Beverley,2017-18,2,Clippers,sore right knee (DTD) | arthroscopic surgery on right knee to repair lateral meniscus (out for season),201976
Patrick McCaw,2016-17,2,Warriors,sore left ankle (DTD) | leg cramps (DTD),1627775
Patrick McCaw,2017-18,3,Warriors,bruised nose (DTD) | concussion (DTD) | strained back (DTD),1627775
Patrick Mills / Patty Mills,2016-17,1,Spurs,tightness in left calf (DTD),201988
Patrick Patterson,2015-16,1,Raptors,sore left ankle (DTD),202335
Patrick Patterson,2016-17,3,Raptors,strained left knee (DTD) | sore left knee (DTD) | bruised left knee (DTD),202335
Pau Gasol,2015-16,2,Bulls,sprained left hand (DTD) | swelling in right knee (DTD),2200
Pau Gasol,2016-17,2,Spurs,fractured left ring finger (DTD) | surgery on left ring finger to repair fracture (out indefinitely),2200
Pau Gasol,2017-18,3,Spurs,sprained right wrist (DTD) | sprained right shoulder (DTD) | sprained ACL in right knee (DTD),2200
Pau Gasol,2018-19,2,"Bucks, Spurs",sore right foot (DTD) | surgery on left foot (out for season),2200
Paul George,2015-16,1,Pacers,bruised lower right leg (DTD),202331
Paul George,2016-17,1,Pacers,sore back / left ankle (DTD),202331
Paul George,2017-18,2,Thunder,sore left knee (DTD) | arthroscopic surgery on right knee (out indefinitely),202331
Paul George,2018-19,2,Thunder,bruised right quadriceps (DTD) | sore right shoulder (DTD),202331
Paul Millsap,2015-16,1,Hawks,sprained left ankle (DTD),200794
Paul Millsap,2016-17,2,Hawks,sore left hip (DTD) | tightness in left knee (DTD),200794
Paul Millsap,2017-18,2,Nuggets,sore left wrist (DTD) | surgery on left wrist (out indefinitely),200794
Paul Millsap,2018-19,1,Nuggets,sore right ankle (DTD),200794
Paul Pierce,2014-15,2,Wizards,sore right toe (DTD) | bruised right knee (DTD),1718
Paul Pierce,2015-16,3,Clippers,sore back (DTD) | sore right big toe (DTD) | sprained right ankle (DTD),1718
Paul Pierce,2016-17,1,Clippers,sprained ankle (DTD),1718
Paul Zipser,2016-17,3,Bulls,strained lower back (DTD) | left ankle tendinitis (DTD),1627835
Paul Zipser,2017-18,3,Bulls,bruised right knee (DTD) | left foot injury (DTD) | sore left foot (out for season),1627835
Pero Antic,2013-14,1,Hawks,stress fracture in right ankle (out indefinitely),203544
Pero Antic,2014-15,4,Hawks,sprained right ankle (DTD) | ankle injury (DTD) | stiff neck (DTD),203544
